trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.95, 'e': 0.0005543544542380398}",25,15,15.894345051775634,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.95, 'e': 0.0005291425245389846}",20,0,4.396022888079731,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
44,False,"{'a': 0.95, 'e': 0.0005056122964910507}",30,0,-10.125732926375155,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
45,False,"{'a': 0.95, 'e': 0.0004836174585902551}",35,23,26.267415046377806,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.95, 'e': 0.0004630272723063389}",30,10,26.632662852141287,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.95, 'e': 0.0004437246244980365}",20,3,27.30626988882363,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.95, 'e': 0.00042560435818862785}",20,0,-27.794815109436673,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
49,False,"{'a': 0.95, 'e': 0.00040857183714326567}",25,11,13.390259576223585,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.95, 'e': 0.0003925417075564279}",20,0,-27.930812172936882,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
51,False,"{'a': 0.95, 'e': 0.0003774368265111627}",25,3,21.037852685248257,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.95, 'e': 0.0003631873320258589}",25,11,12.992153357798166,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.95, 'e': 0.0003497298337034641}",25,7,32.416485425136,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.95, 'e': 0.000337006706433458}",30,17,24.748430155402055,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.95, 'e': 0.00032496547241855553}",20,2,-10.61213061663095,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
56,False,"{'a': 0.95, 'e': 0.00031355825912454536}",25,15,19.16728977827976,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.95, 'e': 0.0003027413226768388}",30,12,30.10787629632849,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.95, 'e': 0.0002924746278260361}",25,1,-13.434696791508948,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
59,False,"{'a': 0.95, 'e': 0.0002827214769369955}",20,2,-12.818277027695366,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
60,False,"{'a': 0.95, 'e': 0.00027344818156959256}",20,12,17.027207843795715,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.95, 'e': 0.0002646237711533627}",20,13,-1.8365935732976693,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.95, 'e': 0.00025621973404391606}",25,20,8.504917965922877,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.95, 'e': 0.00024820978691189794}",20,0,-11.65744093713908,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
64,False,"{'a': 0.95, 'e': 0.00024056966897613547}",30,18,23.34451677839663,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.95, 'e': 0.0002332769580684668}",20,9,9.413225518239793,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.95, 'e': 0.00022631090592255642}",30,3,-27.98727313257366,"{0: 23, 1: 2, 2: 1, 3: 0, 4: 1}",1
67,False,"{'a': 0.95, 'e': 0.0002196522904242584}",25,0,-43.68553162528924,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
68,False,"{'a': 0.95, 'e': 0.0002132832828562897}",30,13,-10.088708654449814,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
69,False,"{'a': 0.95, 'e': 0.00020718732842299364}",25,17,13.19414597483112,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.95, 'e': 0.00020134903855834087}",30,14,-13.945698477664816,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
71,False,"{'a': 0.95, 'e': 0.00019575409370748467}",25,7,29.769916475997412,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.95, 'e': 0.0001903891554337065}",20,16,7.876906103243286,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.95, 'e': 0.00018524178684227588}",25,0,28.638577320382137,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
74,False,"{'a': 0.95, 'e': 0.0001803003804338027}",25,0,38.85361917739008,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.95, 'e': 0.00017555409260478386}",25,14,-22.689260834284866,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
76,False,"{'a': 0.95, 'e': 0.0001709927841045108}",30,0,43.84677017247654,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.95, 'e': 0.00016660696583724167}",30,18,24.38275817045757,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.95, 'e': 0.00016238774946818012}",20,9,20.81768278368041,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.95, 'e': 0.00015832680235273628}",35,18,31.940817119687132,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.95, 'e': 0.00015441630636195183}",35,24,23.70627604474435,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.95, 'e': 0.0001506489202238643}",25,7,28.40845557403343,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.95, 'e': 0.00014701774504182656}",25,18,13.083238938656951,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.95, 'e': 0.0001435162926871273}",30,17,24.299841024878862,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.95, 'e': 0.00014013845679531378}",20,2,14.369661594702029,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.95, 'e': 0.00013687848612394348}",20,0,17.873781509698066,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
86,False,"{'a': 0.95, 'e': 0.00013373096005456223}",20,7,14.675766740076376,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.95, 'e': 0.00013069076604392516}",25,11,1.7903490557796322,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.95, 'e': 0.00012775307884920026}",25,9,18.898229738164506,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.95, 'e': 0.00012491334136942496}",20,11,15.677417022260062,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.95, 'e': 0.00012216724696108972}",25,7,-26.940196682189832,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
91,False,"{'a': 0.95, 'e': 0.0001195107230996301}",20,9,18.37718989108723,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.95, 'e': 0.00011693991627101995}",25,15,20.561974392328647,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.95, 'e': 0.00011445117798874945}",20,14,11.468004963439931,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.95, 'e': 0.0001120410518413947}",20,9,18.46187968338683,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.95, 'e': 0.00010970626148487425}",25,0,-49.119617062911146,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
96,False,"{'a': 0.95, 'e': 0.00010744369950146122}",25,17,15.646603654114891,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.95, 'e': 0.00010525041705477758}",25,6,9.226643532119153,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
98,False,"{'a': 0.95, 'e': 0.00010312361427643315}",25,19,10.084303481433121,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.95, 'e': 0.0001010606313257639}",20,6,24.24615024155708,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.95, 'e': 9.905894006934126e-05}",20,8,21.73048739216766,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.95, 'e': 9.711613633163218e-05}",25,12,22.06513258128758,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.95, 'e': 9.52299326724376e-05}",20,13,14.502765157013666,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.95, 'e': 9.339815165057883e-05}",35,21,23.833516720455567,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.95, 'e': 9.161871953677576e-05}",20,12,12.690809258324041,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.95, 'e': 8.988966044180768e-05}",25,14,20.10732453438237,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.95, 'e': 8.820909082890082e-05}",30,18,9.400006004174276,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.95, 'e': 8.657521438187462e-05}",25,13,23.138719853209366,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.95, 'e': 8.498631720293032e-05}",25,19,0.6792942543292855,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.95, 'e': 8.344076331610282e-05}",25,15,19.396260610273174,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.95, 'e': 8.193699045434061e-05}",25,14,-20.071347692232283,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.95, 'e': 8.047350610995095e-05}",30,13,27.588925587011484,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.95, 'e': 7.904888382976032e-05}",20,0,30.871688930245373,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
113,False,"{'a': 0.95, 'e': 7.76617597378139e-05}",30,23,12.342539640943189,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.95, 'e': 7.631082926978167e-05}",20,3,-17.574962633654486,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
115,False,"{'a': 0.95, 'e': 7.499484410446782e-05}",30,14,-12.899366879517075,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.95, 'e': 7.371260927894326e-05}",20,6,-13.157688746701012,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
117,False,"{'a': 0.95, 'e': 7.246298047484991e-05}",25,11,27.19650884548192,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.95, 'e': 7.124486146436688e-05}",25,0,-42.89647640890949,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
119,False,"{'a': 0.95, 'e': 7.00572017051923e-05}",20,0,-12.502365847341542,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
120,False,"{'a': 0.95, 'e': 6.889899407468652e-05}",20,6,26.890561737186673,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.95, 'e': 6.776927273404965e-05}",20,6,-15.712849913603002,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
122,False,"{'a': 0.95, 'e': 6.66671111140741e-05}",30,22,-26.92622351913146,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
123,False,"{'a': 0.95, 'e': 6.559162001462694e-05}",20,0,-6.849351182920246,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
124,False,"{'a': 0.95, 'e': 6.45419458105823e-05}",25,10,13.97643938540987,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.95, 'e': 6.351726875744343e-05}",35,13,30.00671384678865,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.95, 'e': 6.251680139037365e-05}",20,9,21.457113493150572,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.95, 'e': 6.153978701079716e-05}",25,11,-15.28429071888918,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
128,False,"{'a': 0.95, 'e': 6.058549825513765e-05}",25,13,24.19408801921754,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.95, 'e': 5.965323574063966e-05}",20,8,-28.82590896571177,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
130,False,"{'a': 0.95, 'e': 5.8742326783563894e-05}",30,17,-16.223048227172427,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
131,False,"{'a': 0.95, 'e': 5.785212418536977e-05}",20,8,24.83441820587462,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.95, 'e': 5.6982005082794846e-05}",20,12,14.13504364161139,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.95, 'e': 5.61313698580157e-05}",30,18,6.045620452675351,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.95, 'e': 5.529964110532923e-05}",35,16,33.45155923588411,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.95, 'e': 5.4486262651029106e-05}",20,0,34.485850097239826,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
136,False,"{'a': 0.95, 'e': 5.369069862337049e-05}",25,17,17.286263367254964,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.95, 'e': 5.291243256971874e-05}",25,0,-3.0942933322588653,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
138,False,"{'a': 0.95, 'e': 5.2150966618166274e-05}",30,19,22.927071005187038,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.95, 'e': 5.140582068107572e-05}",20,12,14.651512920898188,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.95, 'e': 5.067653169817058e-05}",20,1,26.584204167670112,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.95, 'e': 4.9962652916944584e-05}",30,16,30.963862444152866,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.95, 'e': 4.926375320830192e-05}",30,7,38.913338066388825,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.95, 'e': 4.8579416415470604e-05}",30,7,43.06339908245911,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.95, 'e': 4.790924073435285e-05}",20,9,-22.295850150811297,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
